"Review date","Review URL","Author name","Author URL","Local Guide","Author reviews","Star rating","Review content","Review image","Review video"
"2026-08-18","https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2t0TFN5MDNZVU4zYW5FdGVIZFZlRmRSV0d0QlpYYxAB!2m1!1s0x0","Raghu Hegde","https://www.google.com/maps/contrib/101353540761187414964/reviews","false","7","5","Good experience, good work by the doctor.","",""
"2026-08-13","https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2pOVWJqbFZaMmgyVGs5SmQxVnFXV3B0UVhSRU1rRRAB!2m1!1s0x0","manjunatha GN","https://www.google.com/maps/contrib/107046396306062916303/reviews","false","2","5","I have got my wisdom tooth removed here from Apex Dental. Done wonderful without complications","",""
"2026-08-12","https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2paTFJsbzJOVE40T1RkYVV6bEVPRTkwVDFGMmRVRRAB!2m1!1s0x0","Gopal Ks","https://www.google.com/maps/contrib/108933612712944066329/reviews","false","4","5","Best dental clinic in bangalore with all the advance treatment procedure.thank you doc Jyoti","",""
"2026-08-12","https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2xwNk4zSnlMVGRVTVdkUmIydERYMWhDU0dFeFMyYxAB!2m1!1s0x0","Shobha R Ammu","https://www.google.com/maps/contrib/104030013980299518337/reviews","false","3","5","Good experience","",""
"2026-08-08","https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2t0UmVGOU9OMFJNTVdsMGJVaE9Xa3hEU1VobFZrRRAB!2m1!1s0x0","Anil Chwan","https://www.google.com/maps/contrib/102442654134660828661/reviews","false","2","5","Very professional and caring dentist. Got my treatment done comfortably. Thank you doctor. And price is also lesser compare to other doctors in our area.","",""
"2026-08-05","https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2preVNETmxhbTl4YVhSV1lVMDJhMnAxY1dkdVltYxAB!2m1!1s0x0","Chandra Shekar","https://www.google.com/maps/contrib/109823428668993591461/reviews","false","4","5","The treatment and the hospitality was good. The doctor was very patient and explained the procedure in detail and also follow up regarding any issues after clinic visit.","",""
"2026-07-29","https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2xWbU5rZG1TWEZPTUcxVlRXRm9UVTl4TWtoclJVRRAB!2m1!1s0x0","Shanthi M","https://www.google.com/maps/contrib/114874428428761539884/reviews","false","1","5","","",""
"2026-07-25","https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2pJM1pVaFJhV1p0VUdGT2NXRkplVWcwT1dsTldsRRAB!2m1!1s0x0","Meenakshi s","https://www.google.com/maps/contrib/106930437521961980018/reviews","false","3","5","Right from the consultation to the treatment, everything was handled perfectly. Dr. Jyothi was very friendly, professional, and provided excellent care throughout the treatment. I had a very positive experience and highly recommend her.","",""
"2026-07-22","https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2s0MUxUVXRjMm93ZWxKNldYcEdkazF2WjFGMVdFRRAB!2m1!1s0x0","Prity Choudhary","https://www.google.com/maps/contrib/112807912955979425339/reviews","false","1","5","The doctor personally handles everything with great care and perfection. She did a wonderful job making and fitting my father's artificial teeth and cap. My father is very comfortable now. Excellent work and highly recommended! Thanks you Ma'am.","",""
"2026-07-15","https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2pkeWNYTkpWak5vUlZFM1FrdG1kalpMY21OdlZYYxAB!2m1!1s0x0","MOHANKUMAR CM","https://www.google.com/maps/contrib/106229127272553017357/reviews","false","7","5","Amazing care and services. Best in class.","",""
